County,Acres,Population,Acres/Capita,Pets,Biking,Boat Launch,Boat Rentals,Camping,Canoe/Kayak,Disc Golf,Equestrian Trails,Fishing,Food,Grills,Hiking,Hunting,Nature Center,Pavillions,Playground,Playing Fields,Showers,Sledding,Snowmobiling,Snowshoeing/X-Country Skiing,Stand-up Paddle Boarding,Surfing/Windsurfing,Swimming Beach,Swimming Pool,Visitor Center,Waterfalls,BingeDrink,BuprenorphineRaw,Buprenorphine,Cardiovascular,CardioHospitalRaw,CardioHospital,Cigarette,Depression,DiabetesAdult,ObeseAdult,ObeseChild,OpiodOverdoseRaw,OpiodOverdose,PCPAdult,PhysicalLeisure,SuicideRaw,Suicide
Herkimer,0,61319.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2,372,0.00607,7.1,"1,068",0.02,22.7,14.1,11,34.5,19.5,5,0.000082,85,73.3,23,0.00038
Jefferson,6231,109834.00,0.05357926,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,19.7,660,0.00601,7.4,"1,450",0.01,17.1,18.3,13,37.9,19.4,15,0.000137,88.8,74.1,51,0.00046
Kings,418,2559903.00,0.00015827,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.2,"4,757",0.00186,5.4,"37,466",0.01,12,12.6,11.9,26.6,19.8,278,0.000109,83.9,74.9,435,0.00017
Lewis,515,26296.00,0.000194998,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,31.6,115,0.00437,6.4,379,0.01,18.3,16.6,8.9,38.2,23.3,5,0.000190,81.3,75.9,15,0.00057
Livingston,14430,62914.00,0.234336939,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,13.3,392,0.00623,6.5,903,0.01,20.1,26.6,10.9,35.6,19.1,9,0.000143,80.7,76.6,25,0.00040
Madison,327,70941.00,0.004833131,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,24.2,380,0.00536,7.3,856,0.01,21,23.6,11.1,37.2,20.3,4,0.000056,87.8,80.3,22,0.00031
Monroe,1331,741770.00,0.00176254,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,22.6,"4,153",0.00560,6.7,"10,850",0.01,13.5,18.7,7.5,33.1,15.2,187,0.000252,85.6,80.9,246,0.00033
Montgomery,0,49221.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,529,0.01075,9.7,"1,165",0.02,15.9,17.2,9.8,38.3,22.5,2,0.000041,83.4,74,20,0.00041
Nassau,5165,1356924.00,0.003713404,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,17.6,"3,725",0.00275,5,"22,483",0.02,7.2,11.4,6.9,23.6,14.7,182,0.000134,84,80.9,249,0.00018
New York,582,1628706.00,0.000369084,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,21.5,"3,222",0.00198,5.6,"20,140",0.01,8,17.2,8.6,19.2,16.2,248,0.000152,84.6,83.2,403,0.00025
